path,type,bytes_uncompressed,bytes_compressed,modified_local,encrypted,crc32_hex,sha256
2025-9-20/6-43-13-Interpretaci_n_de_documento.md,file,96544,29165,2025-09-29T13:52:32,False,4cceeec3,909ed929414995b94d6f84de9102241f53c7cd8cac5b6ecf6e0eb778dfce265e
2025-9-20/7-25-19-Entendimiento_de_documento_JSON.json,file,1549956,232456,2025-09-29T13:52:30,False,a5e12f66,90035bf5c5523589c9f53a11104ca8eb8efb42d47f6e8688e8b095245295bb91
2025-9-20/7-25-19-Entendimiento_de_documento_JSON.md,file,117395,35080,2025-09-29T13:52:30,False,8f0dabcf,b10e012ed72eed259203a77c3e7f313d41d06af2b91122e338cca069ab58e840
2025-9-21/,dir,0,0,2025-09-29T13:52:18,False,00000000,
2025-9-21/2-27-5-Plan_de_limpieza_Excel.json,file,1319262,253874,2025-09-29T13:52:18,False,f256488f,97259c3242f439f153d175907cf996b5cc49c9b95a30d11d410d870a7aa139b2
2025-9-21/2-27-5-Plan_de_limpieza_Excel.md,file,418997,108450,2025-09-29T13:52:18,False,1d1e6c03,db8830729ef1f24931d0359cc4d5715dba02ffd22d8c9908e30b0accfc943b5c
2025-9-23/,dir,0,0,2025-09-29T13:52:24,False,00000000,
2025-9-23/1-13-28-Almacenamiento_de_res_menes.json,file,60625,15470,2025-09-29T13:52:24,False,0efac7fa,a49b460f735a0f3ee75d43c1643ad55e71ec70e720cfb9a38e7acbd6b27bfb17
2025-9-23/1-13-28-Almacenamiento_de_res_menes.md,file,29581,9952,2025-09-29T13:52:24,False,d609cbb6,1b1bc81290602115a1e8aab29958826beee6d9a89d5c3583f79f3ed5f4b83e85
2025-9-23/17-46-27-Verificaci_n_acceso_Banorte.json,file,173174,34042,2025-09-29T13:52:26,False,c526d63f,8475fe0070aabe7d1dd60a30b3ee12bca04806f7d4889e327798a1fe6a441188
2025-9-23/17-46-27-Verificaci_n_acceso_Banorte.md,file,24538,9076,2025-09-29T13:52:26,False,d948220e,0d0f84eb04f557ca481bf919c6bfd6ae2327df5e65ea77c37717188e7d0445b7
2025-9-23/18-1-52-Cambio_de_membres_a_Plus.json,file,112343,22943,2025-09-29T13:52:26,False,0d2796cd,b5c67447fa3243f104ddf35fe1765c56d1c72a08f19b822feb46d9379e346f96
2025-9-23/18-1-52-Cambio_de_membres_a_Plus.md,file,5670,2400,2025-09-29T13:52:26,False,5782bebb,5659cbea4a7c994d50fbf6e33954e0528c74d4d6167f14d8be766655b36b2014
2025-9-24/,dir,0,0,2025-09-29T13:52:18,False,00000000,
2025-9-24/0-32-13-Crear_imagen_estilo_caricatura.json,file,27727,7761,2025-09-29T13:52:24,False,5f47449b,9be1a279a0000219471f16f6ade121ee94e20b5a46ee0596def6dec63d680bd9
2025-9-24/0-32-13-Crear_imagen_estilo_caricatura.md,file,5980,2835,2025-09-29T13:52:24,False,851f7a45,29fa92a56c5a9a724c07d55de131f50ce4a08699fed651d62a280727e45b04bf
2025-9-24/1-56-43-Convierte_foto_en_ilustraci_n.json,file,19139,5091,2025-09-29T13:52:20,False,06d6356d,36939ff84c9e8af71f1ae64f1d0b5e0b7c61f75eee044321effb6a25b949ff3d
2025-9-24/1-56-43-Convierte_foto_en_ilustraci_n.md,file,1822,963,2025-09-29T13:52:20,False,409b6a9e,f15e97aad4a58820abb359f88154a2733898e65815246bddfb015be7f119162c
2025-9-24/1-57-52-Ilustraci_n_de_perro_art_stico.json,file,13875,4006,2025-09-29T13:52:24,False,a01e0c46,c8a60bbf9401fa2985b6bba05a969c0d77788e4a8cded1c1b924b05a42b995d9
2025-9-24/1-57-52-Ilustraci_n_de_perro_art_stico.md,file,1348,768,2025-09-29T13:52:24,False,413cbe55,c0d5d8c639d2d82a739dd1c8c391dfb3567fae1a7e8f806dee302e47c6b45d87
2025-9-24/1-58-21-Ilustraci_n_de_perro.json,file,17717,4282,2025-09-29T13:52:22,False,fe1c9915,9e1e18408627bb4e88ad15be875203c040f53123e991d0e0001de19b455291a1
2025-9-24/1-58-21-Ilustraci_n_de_perro.md,file,3073,1471,2025-09-29T13:52:22,False,a93c703b,7124e5cf9d36219713a355da03e2d50b466cd212449e1c9c2f0e7814813f9ba9
2025-9-24/1-58-38-Ilustraci_n_art_stica_perro.json,file,11212,3070,2025-09-29T13:52:22,False,7e2d3c2c,cc44bb160dd79698ca88e01cc6ff2b67696255bcc569d45c7d62540541940219
2025-9-24/1-58-38-Ilustraci_n_art_stica_perro.md,file,1926,848,2025-09-29T13:52:22,False,2c376576,12d2502692b406e2bf351173250cb8d8d2cd4b8faab5fdf489dc4da717eb0a70
2025-9-24/2-20-39-Respuesta_con_emoji.json,file,10301,2917,2025-09-29T13:52:20,False,74724d7e,0365838dc2f8017902d7421400fe1cf0ebd535ae2cd8fcb4f4e153f19007d2de
2025-9-24/2-20-39-Respuesta_con_emoji.md,file,172,154,2025-09-29T13:52:20,False,0b4ddd4c,b7d564a016edb8ee8da29150869590c398d3508fd0395c98a4735581d4ed463e
2025-9-24/8-17-20-Corregir_heredoc_consola.json,file,29753,7936,2025-09-29T13:52:20,False,55f51b0b,a917bdb64f8a8a84e25d5b0fcec5a801d47e6bfb0226f9fb664dca21bfa2d8e1
2025-9-24/8-17-20-Corregir_heredoc_consola.md,file,10977,3848,2025-09-29T13:52:20,False,d14cc15f,f8b3c4db356742f5bff07462d5c7229221ce01af701a071f4df6df06cf0a8580
2025-9-24/8-31-4-Script_para_espejar_celular.json,file,147377,30123,2025-09-29T13:52:20,False,2498e390,09b0d717e1095a449cdd7c6fa7c8671461389f06c9e0a4c160deedc08b23f845
2025-9-24/8-31-4-Script_para_espejar_celular.md,file,55339,17567,2025-09-29T13:52:20,False,298684c2,6db30f8467df40f848542c73e6acfa302e8d15387eb8158fa97568549e405f37
2025-9-24/8-8-11-Bash_para_descargar_videos.json,file,68831,13238,2025-09-29T13:52:18,False,826b4177,4e33dbf36eff937b581c964051130364c200679e81cd3b0c636a265855fc3cb3
2025-9-24/8-8-11-Bash_para_descargar_videos.md,file,11178,4148,2025-09-29T13:52:18,False,f873766e,7d24cf18b72de840a0b0d33eaba56041849c133000ea4cffe3a263bf1f2d139f
2025-9-25/,dir,0,0,2025-09-29T13:52:40,False,00000000,
2025-9-25/23-40-4-Diferencias_Markdown_JSON.json,file,32721,6823,2025-09-29T13:52:40,False,a48333c4,ebac85923a285d01812aa4987b1286d7bf432c1965901a8841ec3be6ee29d1d8
2025-9-25/23-40-4-Diferencias_Markdown_JSON.md,file,293,117,2025-09-29T13:52:40,False,5aa3d41a,6b9938e89f4106f9cdc00f5e33aa80c6f9599c4c3842f69d51431a2a51bf69c7
2025-9-25/4-2-30-Redacci_n_concisa_y_estructurada.json,file,14852,4338,2025-09-29T13:52:40,False,15ab7235,b96181f8c2075aeafe71a55753ebbadc3bf4c32e6f6403fb80416d63d8f8617c
2025-9-25/4-2-30-Redacci_n_concisa_y_estructurada.md,file,2023,1144,2025-09-29T13:52:40,False,87059d12,28bfdc53050efe624c2179aca2785b18151e90bc192e4186da975f20050eeed6
2025-9-26/,dir,0,0,2025-09-29T13:52:42,False,00000000,
2025-9-26/4-40-54-Comparaci_n_capacidades_humanas_vs_GPT.json,file,415888,88625,2025-09-29T13:52:42,False,d20379ed,72d55b0b36ede4bd6b07f0f509c919e694c8aa93c1e04598934558da25ed6055
2025-9-26/4-40-54-Comparaci_n_capacidades_humanas_vs_GPT.md,file,30049,9693,2025-09-29T13:52:42,False,02b9bb39,d05b66d635d10de39431165f2b1157f5be4a38a87c1b05d018d3048787ccfca8
2025-9-28/,dir,0,0,2025-09-29T13:52:42,False,00000000,
2025-9-28/16-54-29-New_chat.json,file,56443,11730,2025-09-29T13:52:42,False,a8b70633,c1a1af1d713eee306851b5fd16118f26669b2eee07bae541a59e93249d838dbe
2025-9-28/16-54-29-New_chat.md,file,4120,1956,2025-09-29T13:52:42,False,95375107,2f8cbc3fee655d1998ad0198db440b303d638e87b44e8caf3165e2cb485a73f7
2025-9-28/8-52-38-Significado_de_Anastasis_Revenari.json,file,44577,11851,2025-09-29T13:52:42,False,f16e0caa,d52b07f33dcd01b2942bb61e79a73f6ba72081a9234b841237c378b483044546
2025-9-28/8-52-38-Significado_de_Anastasis_Revenari.md,file,20797,8140,2025-09-29T13:52:42,False,2a7a800b,9ccc9f791f537354fb0c9ce7c24b2d641bc197d267861ba9d5d12c21cfd689c4
2025-9-29/,dir,0,0,2025-09-29T13:05:50,False,00000000,
2025-9-29/1-23-22-Explicaci_n_script_orquestador.json,file,295191,62063,2025-09-29T13:52:44,False,017f216d,29ffa0f791864656beae396cd9faf2dd26d4ec94bf55441c9957d6b7a2e80e0f
2025-9-29/1-23-22-Explicaci_n_script_orquestador.md,file,65937,20055,2025-09-29T13:52:44,False,9e9896a5,af48bb16013926d10fc9947d11b5a19fba7cb290c182a099cac0a81f269dd0a9
2025-9-29/1-47-33-An_lisis_de_prompt_t_cnico.json,file,160069,35470,2025-09-29T13:52:44,False,f8f1c2b9,180e0127160a1c37de555785f99fe2c0c0d8a7e06b231cf74534692dceb9b8d1
2025-9-29/1-47-33-An_lisis_de_prompt_t_cnico.md,file,94094,23341,2025-09-29T13:52:44,False,6045a4e1,dba8e0115de0a54a15797922d5433373a5e4cd6f248b4163022723313082d557
2025-9-29/2-8-10-Reporte_de_fallas.json,file,387935,68889,2025-09-29T13:52:44,False,9e68d25f,e6083106192c11e3a1c8742dcca759ddb73475026aaca2126b8e8fb7bc7070c7
2025-9-29/2-8-10-Reporte_de_fallas.md,file,108983,28856,2025-09-29T13:52:44,False,7ad42d19,f472ee34d2f50ccf0cb85d6008b542829ea3e1a9a00d59be16d395c100d4876f
2025-9-29/3-57-48-_An_lisis___Integraci_n_.json,file,462401,98996,2025-09-29T13:06:08,False,849476db,5219bf052e0ccac32bd8f78369836d6f13d5bceb1047f2cd852e529d0b626797
